	segments	length_segment	dep_count_k	dependents_k	head_k	head_kLength	posK	dep_count_p	dependents_p	head_p	head_pLength	posP
4790	then stopping at purple dot	5	[2]	[{then, at}]	['stopping']	[1]	['VERB']	[1, 1]	[{dot}, {purple}]	['stopping', 'at']	[1, 1]	['ADP']
4791	Mok turn one hundred and eighty degrees	7	[2, 3]	[{degrees, Mok}, {eighty, one, and}]	['turn', 'degrees']	[1, 1]	['NOUN']	[1]	[{hundred}]	['turn']	[1]	['VERB']
4792	Mok proceed to Akis location then stop	7	[4]	[{stop, then, Mok, to}]	['proceed']	[1]	['VERB']	[1, 1]	[{location}, {Akis}]	['proceed', 'to']	[1, 1]	['ADP']
4793	once at Akis location proceed once again	7	[3]	[{at, location, again}]	['proceed']	[1]	['VERB']	[1, 1, 1]	[{once}, {Akis}, {once}]	['proceed', 'proceed', 'proceed']	[1, 1, 1]	['VERB']
4794	then stopping at purple dot	5	[2]	[{at, then}]	['stopping']	[1]	['VERB']	[1, 1]	[{dot}, {purple}]	['stopping', 'at']	[1, 1]	['ADP']
4795	Mok turn to the right	5	[2]	[{Mok, to}]	['turn']	[1]	['NOUN']	[1, 1]	[{right}, {the}]	['turn', 'to']	[1, 1]	['ADP']
4796	approach Aki	2	[]	[]	[]	[]	[]	[1]	[{Aki}]	['approach']	[1]	['NOUN']
4797	stop at Aki face down	5	[2]	[{face, at}]	['stop']	[1]	['VERB']	[1, 1]	[{Aki}, {down}]	['stop', 'stop']	[1, 1]	['VERB']
4798	move down	2	[]	[]	[]	[]	[]	[1]	[{down}]	['move']	[1]	['VERB']
4799	Mok turn one hundred and eighty degrees	7	[2, 3]	[{degrees, Mok}, {eighty, one, and}]	['turn', 'degrees']	[1, 1]	['NOUN']	[1]	[{hundred}]	['turn']	[1]	['VERB']
4800	Mok approach Aki at the halfway point stop	8	[3, 2]	[{Mok, Aki, at}, {the, point}]	['approach', 'at']	[1, 1]	['ADP']	[1, 1]	[{stop}, {halfway}]	['approach', 'stop']	[1, 1]	['NOUN']
4801	Mok turn a hundred and eighty degrees	7	[2, 3]	[{degrees, Mok}, {and, eighty, a}]	['turn', 'degrees']	[1, 1]	['NOUN']	[1]	[{hundred}]	['turn']	[1]	['VERB']
4802	Mok approach Aki	3	[2]	[{Mok, Aki}]	['approach']	[1]	['NOUN']	[]	[]	[]	[]	[]
4803	once at Aki stop	4	[2]	[{stop, once}]	['at']	[1]	['ADP']	[1]	[{Aki}]	['at']	[1]	['ADP']
4804	turn counterclockwise ninety degrees	4	[2]	[{counterclockwise, degrees}]	['turn']	[1]	['VERB']	[1]	[{ninety}]	['turn']	[1]	['VERB']
4805	then go up to purple dot	6	[3]	[{to, then, up}]	['go']	[1]	['VERB']	[1, 1]	[{dot}, {purple}]	['go', 'to']	[1, 1]	['ADP']
4806	Mok turn a hundred and eighty degrees	7	[2, 3]	[{Mok, degrees}, {a, and, eighty}]	['turn', 'degrees']	[1, 1]	['NOUN']	[1]	[{hundred}]	['turn']	[1]	['VERB']
4807	Mok approach Aki	3	[2]	[{Mok, Aki}]	['approach']	[1]	['NOUN']	[]	[]	[]	[]	[]
4808	once at Aki stop	4	[2]	[{once, stop}]	['at']	[1]	['ADP']	[1]	[{Aki}]	['at']	[1]	['ADP']
4809	turn counterclockwise ninety degrees	4	[2]	[{degrees, counterclockwise}]	['turn']	[1]	['VERB']	[1]	[{ninety}]	['turn']	[1]	['VERB']
4810	then go up to purple dot	6	[3]	[{up, then, to}]	['go']	[1]	['VERB']	[1, 1]	[{dot}, {purple}]	['go', 'to']	[1, 1]	['ADP']
4811	Mok turn one hundred and eighty degrees	7	[2, 3]	[{degrees, Mok}, {and, one, eighty}]	['turn', 'degrees']	[1, 1]	['NOUN']	[1]	[{hundred}]	['turn']	[1]	['VERB']
4812	Mok proceed towards Akis location	5	[2]	[{Mok, towards}]	['proceed']	[1]	['VERB']	[1, 1]	[{location}, {Akis}]	['proceed', 'towards']	[1, 1]	['ADP']
4813	once at Akis location stop	5	[3]	[{stop, location, once}]	['at']	[1]	['ADP']	[1]	[{Akis}]	['at']	[1]	['ADP']
4814	then proceed past Akis location to purple dot	8	[3]	[{to, then, past}]	['proceed']	[1]	['VERB']	[1, 1, 1, 1]	[{location}, {Akis}, {dot}, {purple}]	['proceed', 'past', 'proceed', 'to']	[1, 1, 1, 1]	['ADP']
4815	Mok turn one hundred and eighty degrees	7	[2, 3]	[{Mok, degrees}, {one, and, eighty}]	['turn', 'degrees']	[1, 1]	['NOUN']	[1]	[{hundred}]	['turn']	[1]	['VERB']
4816	Mok proceed towards Akis location	5	[2]	[{towards, Mok}]	['proceed']	[1]	['VERB']	[1, 1]	[{location}, {Akis}]	['proceed', 'towards']	[1, 1]	['ADP']
4817	once at Akis location stop	5	[3]	[{once, location, stop}]	['at']	[1]	['ADP']	[1]	[{Akis}]	['at']	[1]	['ADP']
4818	then proceed past Akis location to purple dot	8	[3]	[{past, to, then}]	['proceed']	[1]	['VERB']	[1, 1, 1, 1]	[{location}, {Akis}, {dot}, {purple}]	['proceed', 'past', 'proceed', 'to']	[1, 1, 1, 1]	['ADP']
4819	turn a hundred and eighty degrees facing Aki	8	[3, 2]	[{and, a, eighty}, {hundred, facing}]	['degrees', 'turn']	[1, 1]	['VERB']	[1, 1]	[{degrees}, {Aki}]	['turn', 'degrees']	[1, 1]	['NOUN']
4820	walk towards Aki	3	[]	[]	[]	[]	[]	[1, 1]	[{towards}, {Aki}]	['walk', 'walk']	[1, 1]	['VERB']
4821	turn ninety degrees clockwise	4	[2]	[{clockwise, degrees}]	['turn']	[1]	['VERB']	[1]	[{ninety}]	['turn']	[1]	['VERB']
4822	walk towards the purple dot	5	[2]	[{the, purple}]	['towards']	[1]	['ADP']	[1, 1]	[{towards}, {dot}]	['walk', 'walk']	[1, 1]	['VERB']
4823	turn a hundred and eighty degrees	6	[2, 2]	[{eighty, and}, {hundred, a}]	['degrees', 'turn']	[1, 1]	['VERB']	[1]	[{degrees}]	['turn']	[1]	['VERB']
4824	facing Aki walk the distance pathway between yourself and Aki	10	[2, 3, 2]	[{facing, pathway}, {between, the, distance}, {and, Aki}]	['walk', 'walk', 'between']	[1, 1, 1]	['ADP']	[1, 1]	[{Aki}, {yourself}]	['walk', 'pathway']	[1, 1]	['NOUN']
4825	stopping at the purple dot	5	[2]	[{purple, the}]	['at']	[1]	['ADP']	[1, 1]	[{at}, {dot}]	['stopping', 'stopping']	[1, 1]	['VERB']
4826	turn a hundred and eighty degrees	6	[2, 2]	[{eighty, and}, {hundred, a}]	['degrees', 'turn']	[1, 1]	['VERB']	[1]	[{degrees}]	['turn']	[1]	['VERB']
4827	walk forward towards Aki stopping at Akis location	8	[2]	[{forward, stopping}]	['walk']	[1]	['VERB']	[1, 1, 1, 1, 1]	[{towards}, {Aki}, {at}, {location}, {Akis}]	['walk', 'forward', 'walk', 'stopping', 'at']	[1, 1, 1, 1, 1]	['ADP']
4828	turn counterclockwise ninety degrees	4	[2]	[{counterclockwise, degrees}]	['turn']	[1]	['VERB']	[1]	[{ninety}]	['turn']	[1]	['VERB']
4829	walk forward stopping at the purple dot	7	[2, 2]	[{stopping, forward}, {the, purple}]	['walk', 'at']	[1, 1]	['ADP']	[1, 1]	[{at}, {dot}]	['walk', 'stopping']	[1, 1]	['VERB']
4830	Mok turn one hundred and eighty degrees	7	[2, 3]	[{Mok, degrees}, {eighty, and, one}]	['turn', 'degrees']	[1, 1]	['NOUN']	[1]	[{hundred}]	['turn']	[1]	['VERB']
4831	proceed forward to Akis location	5	[2]	[{forward, to}]	['proceed']	[1]	['VERB']	[1, 1]	[{location}, {Akis}]	['proceed', 'to']	[1, 1]	['ADP']
4832	stop once at Akis location	5	[2]	[{at, once}]	['stop']	[1]	['VERB']	[1, 1]	[{location}, {Akis}]	['stop', 'at']	[1, 1]	['ADP']
4833	proceed forward stopping at purple dot	6	[2]	[{forward, stopping}]	['proceed']	[1]	['VERB']	[1, 1, 1]	[{at}, {dot}, {purple}]	['proceed', 'stopping', 'at']	[1, 1, 1]	['ADP']
4834	turn a hundred and eighty degrees facing Aki	8	[3, 2]	[{a, and, eighty}, {facing, hundred}]	['degrees', 'turn']	[1, 1]	['VERB']	[1, 1]	[{degrees}, {Aki}]	['turn', 'degrees']	[1, 1]	['NOUN']
4835	walk towards Aki	3	[]	[]	[]	[]	[]	[1, 1]	[{towards}, {Aki}]	['walk', 'walk']	[1, 1]	['VERB']
4836	turn ninety degrees facing down	5	[2]	[{facing, ninety}]	['turn']	[1]	['VERB']	[1, 1]	[{degrees}, {down}]	['turn', 'degrees']	[1, 1]	['NOUN']
4837	walk towards the purple dot	5	[2]	[{the, purple}]	['towards']	[1]	['ADP']	[1, 1]	[{towards}, {dot}]	['walk', 'walk']	[1, 1]	['VERB']
4838	Mok face up	3	[2]	[{up, Mok}]	['face']	[1]	['NOUN']	[]	[]	[]	[]	[]
4839	Mok move right towards Aki halfway	6	[3]	[{Mok, halfway, right}]	['move']	[1]	['VERB']	[1, 1]	[{towards}, {Aki}]	['move', 'right']	[1, 1]	['ADV']
4840	walk forward stopping at Akis location	6	[2]	[{forward, stopping}]	['walk']	[1]	['VERB']	[1, 1, 1]	[{at}, {location}, {Akis}]	['walk', 'stopping', 'at']	[1, 1, 1]	['ADP']
4841	turn ninety degrees counterclockwise	4	[2]	[{degrees, counterclockwise}]	['turn']	[1]	['VERB']	[1]	[{ninety}]	['turn']	[1]	['VERB']
4842	walk up towards the purple dot	6	[2, 2]	[{towards, up}, {purple, the}]	['walk', 'towards']	[1, 1]	['ADP']	[1]	[{dot}]	['walk']	[1]	['VERB']
4843	Mok walk towards Aki	4	[2]	[{Mok, towards}]	['walk']	[1]	['NOUN']	[1]	[{Aki}]	['walk']	[1]	['NOUN']
4844	stop at Akis location	4	[]	[]	[]	[]	[]	[1, 1, 1]	[{at}, {location}, {Akis}]	['stop', 'stop', 'at']	[1, 1, 1]	['ADP']
4845	once at Aki proceed forward to purple dot	8	[4]	[{forward, to, once, at}]	['proceed']	[1]	['VERB']	[1, 1, 1]	[{Aki}, {dot}, {purple}]	['proceed', 'proceed', 'to']	[1, 1, 1]	['ADP']
4846	Mok proceed to Akis location	5	[2]	[{Mok, to}]	['proceed']	[1]	['VERB']	[1, 1]	[{location}, {Akis}]	['proceed', 'to']	[1, 1]	['ADP']
4847	turn clockwise ninety degrees	4	[2]	[{degrees, clockwise}]	['turn']	[1]	['VERB']	[1]	[{ninety}]	['turn']	[1]	['VERB']
4848	proceed downward stopping at purple dot	6	[2]	[{downward, at}]	['proceed']	[1]	['VERB']	[1, 1, 1]	[{stopping}, {dot}, {purple}]	['proceed', 'stopping', 'at']	[1, 1, 1]	['ADP']
4849	walk half the distance between you and Aki	8	[3, 2]	[{half, the, between}, {and, Aki}]	['walk', 'between']	[1, 1]	['ADP']	[1, 1]	[{distance}, {you}]	['walk', 'distance']	[1, 1]	['NOUN']
4850	forward stopping at the purple dot	6	[2, 2]	[{forward, at}, {purple, the}]	['stopping', 'at']	[1, 1]	['ADP']	[1]	[{dot}]	['stopping']	[1]	['VERB']
4851	Mok approach Aki once at Aki stop	7	[3, 2]	[{at, Mok, Aki}, {once, stop}]	['approach', 'approach']	[1, 1]	['NOUN']	[1]	[{Aki}]	['at']	[1]	['ADP']
4852	turn counterclockwise ninety degrees	4	[2]	[{degrees, counterclockwise}]	['turn']	[1]	['VERB']	[1]	[{ninety}]	['turn']	[1]	['VERB']
4853	proceed up until purple dot	5	[2]	[{up, until}]	['proceed']	[1]	['VERB']	[1, 1]	[{dot}, {purple}]	['proceed', 'until']	[1, 1]	['ADP']
4854	Mok go counterclockwise ninety degrees	5	[2]	[{counterclockwise, Mok}]	['go']	[1]	['VERB']	[1, 1]	[{degrees}, {ninety}]	['go', 'counterclockwise']	[1, 1]	['VERB']
4855	Mok go up	3	[2]	[{up, Mok}]	['go']	[1]	['VERB']	[]	[]	[]	[]	[]
4856	Mok turn clockwise ninety degrees dot	6	[4]	[{Mok, dot, clockwise, degrees}]	['turn']	[1]	['NOUN']	[1]	[{ninety}]	['turn']	[1]	['NOUN']
4857	Mok proceed beyond Aki	4	[2]	[{beyond, Mok}]	['proceed']	[1]	['VERB']	[1]	[{Aki}]	['proceed']	[1]	['VERB']
4858	Mok turn clockwise ninety degrees facing down approach the blue	10	[2, 3, 2]	[{degrees, Mok}, {ninety, facing, clockwise}, {down, approach}]	['turn', 'turn', 'degrees']	[1, 1, 1]	['NOUN']	[1, 1]	[{blue}, {the}]	['facing', 'approach']	[1, 1]	['NOUN']
4859	Mok proceed forward stopping at Akis location	7	[3]	[{Mok, forward, stopping}]	['proceed']	[1]	['VERB']	[1, 1, 1]	[{at}, {location}, {Akis}]	['proceed', 'stopping', 'at']	[1, 1, 1]	['ADP']
4860	Mok turn clockwise ninety degrees	5	[3]	[{degrees, clockwise, Mok}]	['turn']	[1]	['NOUN']	[1]	[{ninety}]	['turn']	[1]	['NOUN']
4861	Mok proceed downward until you stop at the purple dot	10	[3, 3, 2]	[{Mok, stop, downward}, {at, until, you}, {the, purple}]	['proceed', 'proceed', 'at']	[1, 1, 1]	['ADP']	[1]	[{dot}]	['stop']	[1]	['VERB']
4862	Mok go forward half the distance between you and Aki	10	[3, 3, 2]	[{forward, distance, Mok}, {between, the, half}, {Aki, and}]	['go', 'go', 'between']	[1, 1, 1]	['ADP']	[1]	[{you}]	['distance']	[1]	['NOUN']
4863	then stop at purple dot	5	[2]	[{at, then}]	['stop']	[1]	['VERB']	[1, 1]	[{dot}, {purple}]	['stop', 'at']	[1, 1]	['ADP']
4864	Mok go forward half the distance between you and Aki	10	[3, 3, 2]	[{distance, forward, Mok}, {the, between, half}, {Aki, and}]	['go', 'go', 'between']	[1, 1, 1]	['ADP']	[1]	[{you}]	['distance']	[1]	['NOUN']
4865	then stop at purple dot	5	[2]	[{then, at}]	['stop']	[1]	['VERB']	[1, 1]	[{dot}, {purple}]	['stop', 'at']	[1, 1]	['ADP']
4866	Mok proceed to Akis location	5	[2]	[{Mok, to}]	['proceed']	[1]	['VERB']	[1, 1]	[{location}, {Akis}]	['proceed', 'to']	[1, 1]	['ADP']
4867	Mok turn counterclockwise ninety degrees	5	[3]	[{degrees, Mok, counterclockwise}]	['turn']	[1]	['VERB']	[1]	[{ninety}]	['turn']	[1]	['VERB']
4868	Mok proceed upward to purple dot	6	[3]	[{Mok, to, upward}]	['proceed']	[1]	['VERB']	[1, 1]	[{dot}, {purple}]	['proceed', 'to']	[1, 1]	['ADP']
4869	Mok proceed straight to Akis location	6	[3, 2]	[{to, straight, Mok}, {Akis, location}]	['proceed', 'proceed']	[1, 1]	['VERB']	[]	[]	[]	[]	[]
4870	stop at Akis location	4	[]	[]	[]	[]	[]	[1, 1, 1]	[{at}, {location}, {Akis}]	['stop', 'stop', 'at']	[1, 1, 1]	['ADP']
4871	then proceed straight to purple dot	6	[3]	[{to, then, straight}]	['proceed']	[1]	['VERB']	[1, 1]	[{dot}, {purple}]	['proceed', 'to']	[1, 1]	['ADP']
4872	Mok proceed straight to Akis location	6	[3, 2]	[{Mok, straight, to}, {Akis, location}]	['proceed', 'proceed']	[1, 1]	['VERB']	[]	[]	[]	[]	[]
4873	stop at Akis location	4	[]	[]	[]	[]	[]	[1, 1, 1]	[{at}, {location}, {Akis}]	['stop', 'stop', 'at']	[1, 1, 1]	['ADP']
4874	then proceed straight to purple dot	6	[3]	[{then, to, straight}]	['proceed']	[1]	['VERB']	[1, 1]	[{dot}, {purple}]	['proceed', 'to']	[1, 1]	['ADP']
4875	Mok move to the right	5	[2]	[{to, Mok}]	['move']	[1]	['NOUN']	[1, 1]	[{right}, {the}]	['move', 'to']	[1, 1]	['ADP']
4876	Mok go to the right halfway to the distance of Aki	11	[3, 2, 2]	[{to, Mok, to}, {the, right}, {of, the}]	['go', 'to', 'to']	[1, 1, 1]	['ADP']	[1, 1, 1]	[{halfway}, {distance}, {Aki}]	['go', 'go', 'distance']	[1, 1, 1]	['NOUN']
4877	walk forward stopping at Akis location	6	[2]	[{forward, stopping}]	['walk']	[1]	['VERB']	[1, 1, 1]	[{at}, {location}, {Akis}]	['walk', 'stopping', 'at']	[1, 1, 1]	['ADP']
4878	turn counterclockwise ninety degrees	4	[2]	[{counterclockwise, degrees}]	['turn']	[1]	['VERB']	[1]	[{ninety}]	['turn']	[1]	['VERB']
4879	walk up to the purple dot	6	[2, 2]	[{to, up}, {purple, the}]	['walk', 'to']	[1, 1]	['ADP']	[1]	[{dot}]	['walk']	[1]	['VERB']
4880	walk forward past Aki	4	[2]	[{past, forward}]	['walk']	[1]	['VERB']	[1]	[{Aki}]	['walk']	[1]	['VERB']
4881	stop at the purple dot	5	[2]	[{the, purple}]	['at']	[1]	['ADP']	[1, 1]	[{at}, {dot}]	['stop', 'stop']	[1, 1]	['VERB']
4882	Mok proceed forward to Akis location	6	[3]	[{to, forward, Mok}]	['proceed']	[1]	['VERB']	[1, 1]	[{location}, {Akis}]	['proceed', 'to']	[1, 1]	['ADP']
4883	Mok stop at Akis location	5	[2]	[{Mok, at}]	['stop']	[1]	['NOUN']	[1, 1]	[{location}, {Akis}]	['stop', 'at']	[1, 1]	['ADP']
4884	turn counterclockwise ninety degrees	4	[2]	[{counterclockwise, degrees}]	['turn']	[1]	['VERB']	[1]	[{ninety}]	['turn']	[1]	['VERB']
4885	Mok proceed downward till you reach the purple dot	9	[3, 3, 2]	[{downward, reach, Mok}, {dot, till, you}, {the, purple}]	['proceed', 'proceed', 'reach']	[1, 1, 1]	['VERB']	[]	[]	[]	[]	[]
4886	Mok proceed straight half the distance between you and Aki	10	[2, 3, 2]	[{distance, Mok}, {the, between, half}, {Aki, and}]	['proceed', 'proceed', 'between']	[1, 1, 1]	['ADP']	[1, 1]	[{straight}, {you}]	['distance', 'distance']	[1, 1]	['NOUN']
4887	stop at purple dot	4	[]	[]	[]	[]	[]	[1, 1, 1]	[{at}, {dot}, {purple}]	['stop', 'stop', 'at']	[1, 1, 1]	['ADP']
4888	Mok turn ninety degrees to the right	7	[3]	[{Mok, to, degrees}]	['turn']	[1]	['VERB']	[1, 1, 1]	[{ninety}, {right}, {the}]	['turn', 'turn', 'to']	[1, 1, 1]	['ADP']
4889	walk forward towards Aki	4	[]	[]	[]	[]	[]	[1, 1, 1]	[{forward}, {towards}, {Aki}]	['walk', 'walk', 'forward']	[1, 1, 1]	['ADV']
4890	stop at Aki	3	[]	[]	[]	[]	[]	[1, 1]	[{at}, {Aki}]	['stop', 'stop']	[1, 1]	['VERB']
4891	turn ninety degrees to your left	6	[2]	[{to, degrees}]	['turn']	[1]	['VERB']	[1, 1, 1]	[{ninety}, {left}, {your}]	['turn', 'turn', 'to']	[1, 1, 1]	['ADP']
4892	walk up to the purple dot	6	[2, 2]	[{to, up}, {purple, the}]	['walk', 'to']	[1, 1]	['ADP']	[1]	[{dot}]	['walk']	[1]	['VERB']
4893	Mok move up then	4	[3]	[{then, Mok, up}]	['move']	[1]	['VERB']	[]	[]	[]	[]	[]
4894	move to the right	4	[]	[]	[]	[]	[]	[1, 1, 1]	[{to}, {right}, {the}]	['move', 'move', 'to']	[1, 1, 1]	['ADP']
4895	go beyond Aki	3	[]	[]	[]	[]	[]	[1, 1]	[{beyond}, {Aki}]	['go', 'go']	[1, 1]	['VERB']
4896	move down	2	[]	[]	[]	[]	[]	[1]	[{down}]	['move']	[1]	['VERB']
4897	Mok move up	3	[2]	[{up, Mok}]	['move']	[1]	['VERB']	[]	[]	[]	[]	[]
4898	then move to the right	5	[2]	[{to, then}]	['move']	[1]	['VERB']	[1, 1]	[{right}, {the}]	['move', 'to']	[1, 1]	['ADP']
4899	go beyond Aki move down	5	[2]	[{beyond, move}]	['go']	[1]	['VERB']	[1, 1]	[{Aki}, {down}]	['go', 'go']	[1, 1]	['VERB']
4900	turn halfway to your right facing Aki	7	[2, 2]	[{halfway, to}, {your, facing}]	['turn', 'to']	[1, 1]	['ADP']	[1, 1]	[{right}, {Aki}]	['turn', 'right']	[1, 1]	['NOUN']
4901	walk towards Aki	3	[]	[]	[]	[]	[]	[1, 1]	[{towards}, {Aki}]	['walk', 'walk']	[1, 1]	['VERB']
4902	stopping at Akis location	4	[]	[]	[]	[]	[]	[1, 1, 1]	[{at}, {location}, {Akis}]	['stopping', 'stopping', 'at']	[1, 1, 1]	['ADP']
4903	turn halfway towards your right	5	[2]	[{towards, halfway}]	['turn']	[1]	['VERB']	[1, 1]	[{right}, {your}]	['turn', 'towards']	[1, 1]	['ADP']
4904	again facing downward walking towards the dot	7	[2, 2]	[{walking, again}, {towards, downward}]	['facing', 'facing']	[1, 1]	['VERB']	[1, 1]	[{dot}, {the}]	['walking', 'towards']	[1, 1]	['ADP']
4905	okay	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
4906	Mok turn clockwise ninety degrees	5	[3]	[{degrees, clockwise, Mok}]	['turn']	[1]	['NOUN']	[1]	[{ninety}]	['turn']	[1]	['NOUN']
4907	proceed half the distance between you and Aki	8	[3, 2]	[{half, between, the}, {and, Aki}]	['proceed', 'between']	[1, 1]	['ADP']	[1, 1]	[{distance}, {you}]	['proceed', 'distance']	[1, 1]	['NOUN']
4908	stop at the purple dot	5	[2]	[{the, purple}]	['at']	[1]	['ADP']	[1, 1]	[{at}, {dot}]	['stop', 'stop']	[1, 1]	['VERB']
4909	Mok turn clockwise ninety degrees	5	[3]	[{clockwise, degrees, Mok}]	['turn']	[1]	['NOUN']	[1]	[{ninety}]	['turn']	[1]	['NOUN']
4910	approach Aki once at Aki go counterclockwise ninety degrees	9	[3]	[{Aki, go, once}]	['approach']	[1]	['NOUN']	[1, 1, 1, 1, 1]	[{at}, {Aki}, {counterclockwise}, {degrees}, {ninety}]	['approach', 'once', 'approach', 'go', 'counterclockwise']	[1, 1, 1, 1, 1]	['VERB']
4911	then proceed up to purple dot	6	[3]	[{then, up, to}]	['proceed']	[1]	['VERB']	[1, 1]	[{dot}, {purple}]	['proceed', 'to']	[1, 1]	['ADP']
4912	Mok turn clockwise ninety degrees	5	[3]	[{degrees, Mok, clockwise}]	['turn']	[1]	['NOUN']	[1]	[{ninety}]	['turn']	[1]	['NOUN']
4913	approach Aki once at Aki go counterclockwise ninety degrees	9	[3]	[{go, Aki, once}]	['approach']	[1]	['NOUN']	[1, 1, 1, 1, 1]	[{at}, {Aki}, {counterclockwise}, {degrees}, {ninety}]	['approach', 'once', 'approach', 'go', 'counterclockwise']	[1, 1, 1, 1, 1]	['VERB']
4914	then proceed up to purple dot	6	[3]	[{to, up, then}]	['proceed']	[1]	['VERB']	[1, 1]	[{dot}, {purple}]	['proceed', 'to']	[1, 1]	['ADP']
4915	turn halfway to the right	5	[2]	[{to, halfway}]	['turn']	[1]	['VERB']	[1, 1]	[{right}, {the}]	['turn', 'to']	[1, 1]	['ADP']
4916	proceed forward walking past Aki	5	[2]	[{forward, walking}]	['proceed']	[1]	['VERB']	[1, 1]	[{past}, {Aki}]	['proceed', 'walking']	[1, 1]	['VERB']
4917	stop at the purple dot	5	[2]	[{the, purple}]	['at']	[1]	['ADP']	[1, 1]	[{at}, {dot}]	['stop', 'stop']	[1, 1]	['VERB']
4918	Mok turn clockwise ninety degrees	5	[3]	[{degrees, Mok, clockwise}]	['turn']	[1]	['NOUN']	[1]	[{ninety}]	['turn']	[1]	['NOUN']
4919	approach Aki	2	[]	[]	[]	[]	[]	[1]	[{Aki}]	['approach']	[1]	['NOUN']
4920	stop at Akis location	4	[]	[]	[]	[]	[]	[1, 1, 1]	[{at}, {location}, {Akis}]	['stop', 'stop', 'at']	[1, 1, 1]	['ADP']
4921	turn an additional clockwise ninety degrees	6	[3]	[{additional, clockwise, an}]	['degrees']	[1]	['NOUN']	[1, 1]	[{degrees}, {ninety}]	['turn', 'turn']	[1, 1]	['VERB']
4922	proceed down to purple dot	5	[2]	[{down, to}]	['proceed']	[1]	['VERB']	[1, 1]	[{dot}, {purple}]	['proceed', 'to']	[1, 1]	['ADP']
4923	Mok turn clockwise ninety degrees	5	[3]	[{Mok, clockwise, degrees}]	['turn']	[1]	['NOUN']	[1]	[{ninety}]	['turn']	[1]	['NOUN']
4924	proceed forward half the distance between you and Aki	9	[2, 3, 2]	[{distance, forward}, {between, half, the}, {and, Aki}]	['proceed', 'proceed', 'between']	[1, 1, 1]	['ADP']	[1]	[{you}]	['distance']	[1]	['NOUN']
4925	stop at purple dot	4	[]	[]	[]	[]	[]	[1, 1, 1]	[{at}, {dot}, {purple}]	['stop', 'stop', 'at']	[1, 1, 1]	['ADP']
4926	Mok turn clockwise ninety degrees	5	[3]	[{Mok, clockwise, degrees}]	['turn']	[1]	['NOUN']	[1]	[{ninety}]	['turn']	[1]	['NOUN']
4927	approach Aki	2	[]	[]	[]	[]	[]	[1]	[{Aki}]	['approach']	[1]	['NOUN']
4928	stop at Akis location	4	[]	[]	[]	[]	[]	[1, 1, 1]	[{at}, {location}, {Akis}]	['stop', 'stop', 'at']	[1, 1, 1]	['ADP']
4929	Mok turn counterclockwise ninety degrees	5	[3]	[{degrees, counterclockwise, Mok}]	['turn']	[1]	['VERB']	[1]	[{ninety}]	['turn']	[1]	['VERB']
4930	Mok go out to purple dot	6	[3]	[{out, Mok, to}]	['go']	[1]	['VERB']	[1, 1]	[{dot}, {purple}]	['go', 'to']	[1, 1]	['ADP']
4931	Then turn clockwise ninety degrees	5	[3]	[{clockwise, degrees, Then}]	['turn']	[1]	['VERB']	[1]	[{ninety}]	['turn']	[1]	['VERB']
4932	proceed to Akis location	4	[]	[]	[]	[]	[]	[1, 1, 1]	[{to}, {location}, {Akis}]	['proceed', 'proceed', 'to']	[1, 1, 1]	['ADP']
4933	stop once at Akis location	5	[2]	[{at, once}]	['stop']	[1]	['VERB']	[1, 1]	[{location}, {Akis}]	['stop', 'at']	[1, 1]	['ADP']
4934	proceed forward to purple dot	5	[2]	[{to, forward}]	['proceed']	[1]	['VERB']	[1, 1]	[{dot}, {purple}]	['proceed', 'to']	[1, 1]	['ADP']
4935	Mok turn clockwise ninety degrees	5	[3]	[{Mok, degrees, clockwise}]	['turn']	[1]	['NOUN']	[1]	[{ninety}]	['turn']	[1]	['NOUN']
4936	approach Aki and stop at Akis location	7	[3]	[{stop, Aki, and}]	['approach']	[1]	['NOUN']	[1, 1, 1]	[{at}, {location}, {Akis}]	['approach', 'stop', 'at']	[1, 1, 1]	['ADP']
4937	turn an additional ninety degrees clockwise	6	[3]	[{additional, degrees, an}]	['turn']	[1]	['VERB']	[1, 1]	[{clockwise}, {ninety}]	['turn', 'clockwise']	[1, 1]	['NOUN']
4938	proceed down to purple dot	5	[2]	[{down, to}]	['proceed']	[1]	['VERB']	[1, 1]	[{dot}, {purple}]	['proceed', 'to']	[1, 1]	['ADP']
4939	turn ninety degrees	3	[]	[]	[]	[]	[]	[1, 1]	[{turn}, {ninety}]	['degrees', 'degrees']	[1, 1]	['NOUN']
4940	walk half the distance between yourself and Aki stopping at the purple dot	13	[2, 3, 2, 2]	[{distance, stopping}, {between, the, half}, {and, Aki}, {purple, the}]	['walk', 'walk', 'between', 'at']	[1, 1, 1, 1]	['ADP']	[1, 1, 1]	[{yourself}, {at}, {dot}]	['distance', 'walk', 'stopping']	[1, 1, 1]	['VERB']
4941	Mok turn counterclockwise ninety degrees	5	[3]	[{Mok, degrees, counterclockwise}]	['turn']	[1]	['VERB']	[1]	[{ninety}]	['turn']	[1]	['VERB']
4942	approach Aki once at Aki stop	6	[2]	[{Aki, once}]	['approach']	[1]	['NOUN']	[1, 1, 1]	[{at}, {stop}, {Aki}]	['approach', 'once', 'at']	[1, 1, 1]	['ADP']
