	segments	length_segment	dep_count_k	dependents_k	head_k	head_kLength	posK	dep_count_p	dependents_p	head_p	head_pLength	posP	index	depSum_p	depSum_k	headSum_p	headSum_k	cohesion	cohesion_norm	ifmt	inst_len	ifmt_norm
4460	left stop at the left hand side of Aki	9	[4]	[{left, the, hand, of}]	['at']	[1]	['ADP']	[1, 1, 1, 1]	[{stop}, {at}, {side}, {Aki}]	['left', 'left', 'stop', 'side']	[1, 1, 1, 1]	['NOUN']	1303.0	4	4	4	1	0	0.0			
4461	Mok turn right and moving across Aki	7	[4]	[{Mok, right, moving, and}]	['turn']	[1]	['VERB']	[1, 1]	[{across}, {Aki}]	['turn', 'moving']	[1, 1]	['VERB']	1304.0	2	4	2	1	2	0.29			
4462	then stopped at in front of Aki	7	[3]	[{in, at, then}]	['stopped']	[1]	['VERB']	[1, 1, 1]	[{front}, {of}, {Aki}]	['stopped', 'in', 'front']	[1, 1, 1]	['NOUN']	1305.0	3	3	3	1	0	0.0			
4463	Mok turn right and moving to the Aki	8	[4]	[{Mok, and, moving, right}]	['turn']	[1]	['VERB']	[1, 1, 1]	[{to}, {Aki}, {the}]	['turn', 'moving', 'to']	[1, 1, 1]	['ADP']	1305.0	3	4	3	1	1	0.12			
4464	when you reach the place of Aki	7	[3, 2]	[{you, place, when}, {of, the}]	['reach', 'reach']	[1, 1]	['VERB']	[1]	[{Aki}]	['place']	[1]	['NOUN']	1306.0	1	5	1	2	4	0.57			
4465	turn right and moving to the low side of Aki	10	[3, 3]	[{and, moving, right}, {the, of, low}]	['turn', 'to']	[1, 1]	['ADP']	[1, 1, 1]	[{to}, {side}, {Aki}]	['turn', 'moving', 'side']	[1, 1, 1]	['NOUN']	1306.0	3	6	3	2	3	0.3			
4466	Mok turn right and move on stopped at the back side of Aki	13	[4, 2, 3]	[{right, move, and, Mok}, {on, stopped}, {back, of, the}]	['turn', 'turn', 'at']	[1, 1, 1]	['ADP']	[1, 1, 1]	[{at}, {side}, {Aki}]	['move', 'stopped', 'side']	[1, 1, 1]	['NOUN']	1307.0	3	9	3	3	6	0.46			
4467	Mok turn right moving to the Akis place	8	[2, 2, 2]	[{moving, Mok}, {right, to}, {Akis, the}]	['turn', 'turn', 'to']	[1, 1, 1]	['ADP']	[1]	[{place}]	['moving']	[1]	['VERB']	1307.0	1	6	1	3	5	0.62			
4468	then turn left and move stopped in front of Aki	10	[5]	[{move, stopped, and, then, turn}]	['left']	[1]	['VERB']	[1, 1, 1, 1]	[{in}, {front}, {of}, {Aki}]	['left', 'stopped', 'in', 'front']	[1, 1, 1, 1]	['NOUN']	1308.0	4	5	4	1	1	0.1			
4469	Mok turn right and moving across Aki and stopped at the right hand side of Aki	16	[6, 3]	[{stopped, and, moving, right, and, Mok}, {hand, of, the}]	['turn', 'at']	[1, 1]	['ADP']	[1, 1, 1, 1, 1, 1]	[{across}, {Aki}, {at}, {side}, {right}, {Aki}]	['turn', 'moving', 'turn', 'stopped', 'side', 'side']	[1, 1, 1, 1, 1, 1]	['NOUN']	1309.0	6	9	6	2	3	0.19			
4470	Mok turn right and  go to the Akis place	10	[4, 2]	[{Mok, go, and, right}, {the, Akis}]	['turn', 'to']	[1, 1]	['ADP']	[1, 1, 1]	[{ }, {to}, {place}]	['turn', 'turn', 'go']	[1, 1, 1]	['VERB']	1309.0	3	6	3	2	3	0.3			
4471	Mok turn right and  go to the Akis place	10	[4, 2]	[{and, right, Mok, go}, {the, Akis}]	['turn', 'to']	[1, 1]	['ADP']	[1, 1, 1]	[{ }, {to}, {place}]	['turn', 'turn', 'go']	[1, 1, 1]	['VERB']	1310.0	3	6	3	2	3	0.3			
4472	then going down to the back side of Aki	9	[3, 3]	[{down, to, then}, {back, of, the}]	['going', 'to']	[1, 1]	['ADP']	[1, 1]	[{side}, {Aki}]	['going', 'side']	[1, 1]	['NOUN']	1310.0	2	6	2	2	4	0.44			
4473	Mok turn right and moving to the Aki	8	[4]	[{and, Mok, right, moving}]	['turn']	[1]	['VERB']	[1, 1, 1]	[{to}, {Aki}, {the}]	['turn', 'moving', 'to']	[1, 1, 1]	['ADP']	1310.0	3	4	3	1	1	0.12			
4474	then stopped at the left hand side of Aki	9	[2, 4]	[{then, at}, {of, left, the, hand}]	['stopped', 'at']	[1, 1]	['ADP']	[1, 1]	[{side}, {Aki}]	['stopped', 'side']	[1, 1]	['NOUN']	1311.0	2	6	2	2	4	0.44			
4475	turn left about a hundred and twenty degrees	8	[2, 4]	[{turn, degrees}, {a, twenty, and, about}]	['left', 'degrees']	[1, 1]	['NOUN']	[1]	[{hundred}]	['left']	[1]	['VERB']	1311.0	1	6	1	2	5	0.62			
4476	then move forward until youre behind Aki	8	[3, 3]	[{then, re, forward}, {behind, until, you}]	['move', 'move']	[1, 1]	['VERB']	[1]	[{Aki}]	['re']	[1]	['VERB']	1312.0	1	6	1	2	5	0.62			
4477	turn left then go towards Aki	6	[2, 2]	[{go, turn}, {towards, then}]	['left', 'left']	[1, 1]	['VERB']	[1]	[{Aki}]	['go']	[1]	['VERB']	1313.0	1	4	1	2	3	0.5			
4478	go around him and then stop a little bit past him	11	[3, 2, 2, 2]	[{stop, and, around}, {past, then}, {a, little}, {him, bit}]	['go', 'go', 'past', 'stop']	[1, 1, 1, 1]	['VERB']	[1]	[{him}]	['go']	[1]	['VERB']	1313.0	1	9	1	4	8	0.73			
4479	turn left about sixty degrees	5	[2]	[{degrees, turn}]	['left']	[1]	['VERB']	[1, 1]	[{about}, {sixty}]	['degrees', 'left']	[1, 1]	['VERB']	1314.0	2	2	2	1	0	0.0			
4480	then go forward until youre in front of Aki	10	[3, 3]	[{then, re, forward}, {in, until, you}]	['go', 'go']	[1, 1]	['VERB']	[1, 1, 1]	[{front}, {of}, {Aki}]	['re', 'in', 'front']	[1, 1, 1]	['NOUN']	1314.0	3	6	3	2	3	0.3			
4481	turn left then move about half the distance between you and Aki	12	[2, 2, 3, 2]	[{move, turn}, {then, distance}, {half, the, between}, {and, Aki}]	['left', 'left', 'move', 'between']	[1, 1, 1, 1]	['ADP']	[1, 1]	[{about}, {you}]	['distance', 'distance']	[1, 1]	['NOUN']	1314.0	2	9	2	4	7	0.58			
4482	turn left about a hundred and twenty degrees	8	[2, 4]	[{turn, degrees}, {a, twenty, and, about}]	['left', 'degrees']	[1, 1]	['NOUN']	[1]	[{hundred}]	['left']	[1]	['VERB']	1315.0	1	6	1	2	5	0.62			
4483	go forward and stop to the right of Aki	9	[3, 2]	[{and, forward, stop}, {of, the}]	['go', 'to']	[1, 1]	['ADP']	[1, 1, 1]	[{to}, {right}, {Aki}]	['go', 'stop', 'right']	[1, 1, 1]	['NOUN']	1315.0	3	5	3	2	2	0.22			
4484	turn left and go towards Aki	6	[2]	[{go, and}]	['turn']	[1]	['VERB']	[1, 1, 1]	[{left}, {towards}, {Aki}]	['turn', 'left', 'go']	[1, 1, 1]	['VERB']	1316.0	3	2	3	1	-1	-0.17			
4485	go around him and stop a little bit past him	10	[3, 2, 2]	[{and, stop, around}, {a, little}, {bit, him}]	['go', 'past', 'stop']	[1, 1, 1]	['VERB']	[1, 1]	[{him}, {past}]	['go', 'go']	[1, 1]	['VERB']	1317.0	2	7	2	3	5	0.5			
4486	turn left about sixty degrees	5	[2]	[{degrees, turn}]	['left']	[1]	['VERB']	[1, 1]	[{about}, {sixty}]	['degrees', 'left']	[1, 1]	['VERB']	1317.0	2	2	2	1	0	0.0			
4487	go forward and stop when youre next to Aki on his left	13	[3, 3, 2]	[{and, stop, forward}, {you, when, next}, {on, to}]	['go', 'stop', 're']	[1, 1, 1]	['VERB']	[1, 1, 1, 1]	[{re}, {Aki}, {left}, {his}]	['go', 'next', 'next', 'on']	[1, 1, 1, 1]	['ADP']	1318.0	4	8	4	3	4	0.31			
4488	turn left then go about half of the distance between you and Aki	13	[2, 2, 2, 2, 2]	[{go, turn}, {half, then}, {about, of}, {the, between}, {Aki, and}]	['left', 'left', 'go', 'of', 'between']	[1, 1, 1, 1, 1]	['ADP']	[1, 1]	[{distance}, {you}]	['half', 'distance']	[1, 1]	['NOUN']	1318.0	2	10	2	5	8	0.62			
4489	turn left about a hundred and twenty degrees	8	[2, 4]	[{turn, degrees}, {twenty, a, and, about}]	['left', 'degrees']	[1, 1]	['NOUN']	[1]	[{hundred}]	['left']	[1]	['VERB']	1319.0	1	6	1	2	5	0.62			
4490	then go forward until youre next to Aki on his left	12	[3, 4]	[{then, forward, re}, {on, you, until, next}]	['go', 'go']	[1, 1]	['VERB']	[1, 1, 1, 1]	[{to}, {Aki}, {left}, {his}]	['re', 'next', 're', 'on']	[1, 1, 1, 1]	['ADP']	1319.0	4	7	4	2	3	0.25			
4491	turn left go towards Aki	5	[2]	[{turn, go}]	['left']	[1]	['VERB']	[1, 1]	[{towards}, {Aki}]	['left', 'go']	[1, 1]	['NOUN']	1320.0	2	2	2	1	0	0.0			
4492	go around him	3	[]	[]	[]	[]	[]	[1, 1]	[{around}, {him}]	['go', 'go']	[1, 1]	['VERB']	1321.0	2	0	2	0	-2	-0.67			
4493	and then stop when youre a little bit in front of him	13	[3, 3, 2, 2]	[{then, and, re}, {when, you, in}, {little, a}, {front, bit}]	['stop', 'stop', 'in', 're']	[1, 1, 1, 1]	['VERB']	[1, 1]	[{of}, {him}]	['in', 'front']	[1, 1]	['NOUN']	1321.0	2	10	2	4	8	0.62			
4494	turn left about sixty degrees	5	[2]	[{degrees, turn}]	['left']	[1]	['VERB']	[1, 1]	[{about}, {sixty}]	['degrees', 'left']	[1, 1]	['VERB']	1322.0	2	2	2	1	0	0.0			
4495	then go forward and stop when youre to the right of Aki	13	[4, 3, 2]	[{and, then, forward, stop}, {you, to, when}, {the, of}]	['go', 'stop', 'to']	[1, 1, 1]	['ADP']	[1, 1, 1]	[{re}, {right}, {Aki}]	['go', 're', 'right']	[1, 1, 1]	['NOUN']	1322.0	3	9	3	3	6	0.46			
4496	turn left then go about half the distance between you and Aki	12	[2, 2, 3, 2]	[{turn, go}, {distance, then}, {between, the, half}, {and, Aki}]	['left', 'left', 'go', 'between']	[1, 1, 1, 1]	['ADP']	[1, 1]	[{about}, {you}]	['distance', 'distance']	[1, 1]	['NOUN']	1322.0	2	9	2	4	7	0.58			
4497	turn left about a hundred and twenty degrees	8	[2, 4]	[{turn, degrees}, {a, twenty, and, about}]	['left', 'degrees']	[1, 1]	['NOUN']	[1]	[{hundred}]	['left']	[1]	['VERB']	1323.0	1	6	1	2	5	0.62			
4498	go forward and stop when youre in front of Aki	11	[3, 3]	[{stop, forward, and}, {in, you, when}]	['go', 'stop']	[1, 1]	['VERB']	[1, 1, 1, 1]	[{re}, {front}, {of}, {Aki}]	['go', 're', 'in', 'front']	[1, 1, 1, 1]	['NOUN']	1323.0	4	6	4	2	2	0.18			
4499	turn left go towards Aki	5	[2]	[{go, turn}]	['left']	[1]	['VERB']	[1, 1]	[{towards}, {Aki}]	['left', 'go']	[1, 1]	['NOUN']	1324.0	2	2	2	1	0	0.0			
4500	go around him and then stop a little bit past him	11	[3, 2, 2, 2]	[{stop, and, around}, {past, then}, {a, little}, {him, bit}]	['go', 'go', 'past', 'stop']	[1, 1, 1, 1]	['VERB']	[1]	[{him}]	['go']	[1]	['VERB']	1324.0	1	9	1	4	8	0.73			
4501	turn left about sixty degrees	5	[2]	[{degrees, turn}]	['left']	[1]	['VERB']	[1, 1]	[{about}, {sixty}]	['degrees', 'left']	[1, 1]	['VERB']	1325.0	2	2	2	1	0	0.0			
4502	go forward and stop when youre behind Aki	9	[3, 3]	[{forward, stop, and}, {you, behind, when}]	['go', 'stop']	[1, 1]	['VERB']	[1, 1]	[{re}, {Aki}]	['go', 're']	[1, 1]	['VERB']	1324.0	2	6	2	2	4	0.44			
4503	turn left and go about half the distance between you and Aki	12	[2, 3, 2]	[{and, go}, {half, the, between}, {and, Aki}]	['turn', 'go', 'between']	[1, 1, 1]	['ADP']	[1, 1, 1, 1]	[{left}, {distance}, {about}, {you}]	['turn', 'left', 'distance', 'distance']	[1, 1, 1, 1]	['NOUN']	1324.0	4	7	4	3	3	0.25			
4504	turn right about a hundred and fifty degrees	8	[2, 4]	[{degrees, right}, {a, fifty, and, about}]	['turn', 'degrees']	[1, 1]	['NOUN']	[1]	[{hundred}]	['turn']	[1]	['VERB']	1325.0	1	6	1	2	5	0.62			
4505	then go forward until youre behind Aki	8	[3, 3]	[{then, forward, re}, {you, until, behind}]	['go', 'go']	[1, 1]	['VERB']	[1]	[{Aki}]	['re']	[1]	['VERB']	1325.0	1	6	1	2	5	0.62			
4506	turn around then go towards Aki	6	[3]	[{go, around, then}]	['turn']	[1]	['VERB']	[1, 1]	[{towards}, {Aki}]	['turn', 'go']	[1, 1]	['VERB']	1325.0	2	3	2	1	1	0.17			
4507	go around him and stop a little bit past him	10	[3, 2, 2]	[{and, stop, around}, {a, little}, {bit, him}]	['go', 'past', 'stop']	[1, 1, 1]	['VERB']	[1, 1]	[{him}, {past}]	['go', 'go']	[1, 1]	['VERB']	1326.0	2	7	2	3	5	0.5			
4508	turn left about a hundred and fifty degrees	8	[2, 4]	[{degrees, turn}, {fifty, about, and, a}]	['left', 'degrees']	[1, 1]	['NOUN']	[1]	[{hundred}]	['left']	[1]	['VERB']	1327.0	1	6	1	2	5	0.62			
4509	go forward and stop when youre in front of Aki	11	[3, 3]	[{and, stop, forward}, {you, when, in}]	['go', 'stop']	[1, 1]	['VERB']	[1, 1, 1, 1]	[{re}, {front}, {of}, {Aki}]	['go', 're', 'in', 'front']	[1, 1, 1, 1]	['NOUN']	1328.0	4	6	4	2	2	0.18			
4510	turn around then go about half the distance between you and Aki	12	[3, 3, 2]	[{then, around, go}, {half, the, between}, {and, Aki}]	['turn', 'go', 'between']	[1, 1, 1]	['ADP']	[1, 1, 1]	[{distance}, {about}, {you}]	['turn', 'distance', 'distance']	[1, 1, 1]	['NOUN']	1329.0	3	8	3	3	5	0.42			
4511	turn right about a hundred and fifty degrees	8	[2, 4]	[{right, degrees}, {fifty, a, and, about}]	['turn', 'degrees']	[1, 1]	['NOUN']	[1]	[{hundred}]	['turn']	[1]	['VERB']	1329.0	1	6	1	2	5	0.62			
4512	go forward and stop when youre to the right of Aki	12	[3, 3, 2]	[{and, forward, stop}, {to, when, you}, {the, of}]	['go', 'stop', 'to']	[1, 1, 1]	['ADP']	[1, 1, 1]	[{re}, {right}, {Aki}]	['go', 're', 'right']	[1, 1, 1]	['NOUN']	1330.0	3	8	3	3	5	0.42			
4513	turn around then go towards Aki	6	[3]	[{go, then, around}]	['turn']	[1]	['VERB']	[1, 1]	[{towards}, {Aki}]	['turn', 'go']	[1, 1]	['VERB']	1330.0	2	3	2	1	1	0.17			
4514	go around him	3	[]	[]	[]	[]	[]	[1, 1]	[{around}, {him}]	['go', 'go']	[1, 1]	['VERB']	1330.0	2	0	2	0	-2	-0.67			
4515	and then stop a little bit behind him	8	[3, 2, 2]	[{then, and, behind}, {a, little}, {him, bit}]	['stop', 'behind', 'stop']	[1, 1, 1]	['VERB']	[]	[]	[]	[]	[]	1331.0	0	7	0	3	7	0.88			
4516	turn left about a hundred and fifty degrees	8	[2, 4]	[{degrees, turn}, {and, about, fifty, a}]	['left', 'degrees']	[1, 1]	['NOUN']	[1]	[{hundred}]	['left']	[1]	['VERB']	1332.0	1	6	1	2	5	0.62			
4517	then go forward until youre next to Aki on the left	12	[3, 3, 2]	[{then, re, forward}, {next, until, you}, {on, to}]	['go', 'go', 're']	[1, 1, 1]	['VERB']	[1, 1, 1]	[{Aki}, {left}, {the}]	['next', 'next', 'on']	[1, 1, 1]	['ADP']	1333.0	3	8	3	3	5	0.42			
4518	turn around then go about half the distance between you and Aki	12	[3, 3, 2]	[{then, around, go}, {between, the, half}, {and, Aki}]	['turn', 'go', 'between']	[1, 1, 1]	['ADP']	[1, 1, 1]	[{distance}, {about}, {you}]	['turn', 'distance', 'distance']	[1, 1, 1]	['NOUN']	1334.0	3	8	3	3	5	0.42			
4519	turn right about a hundred and fifty degrees	8	[2, 4]	[{degrees, right}, {a, fifty, and, about}]	['turn', 'degrees']	[1, 1]	['NOUN']	[1]	[{hundred}]	['turn']	[1]	['VERB']	1334.0	1	6	1	2	5	0.62			
4520	go forward and stop when youre next to Aki on his left	13	[3, 3, 2]	[{stop, forward, and}, {next, you, when}, {to, on}]	['go', 'stop', 're']	[1, 1, 1]	['VERB']	[1, 1, 1, 1]	[{re}, {Aki}, {left}, {his}]	['go', 'next', 'next', 'on']	[1, 1, 1, 1]	['ADP']	1335.0	4	8	4	3	4	0.31			
4521	turn around and go towards Aki	6	[3]	[{go, around, and}]	['turn']	[1]	['VERB']	[1, 1]	[{towards}, {Aki}]	['turn', 'go']	[1, 1]	['VERB']	1335.0	2	3	2	1	1	0.17			
4522	go around him	3	[]	[]	[]	[]	[]	[1, 1]	[{around}, {him}]	['go', 'go']	[1, 1]	['VERB']	1335.0	2	0	2	0	-2	-0.67			
4523	and then stop a little bit in front of him	10	[4, 2]	[{in, then, bit, and}, {little, a}]	['stop', 'stop']	[1, 1]	['VERB']	[1, 1, 1]	[{front}, {of}, {him}]	['stop', 'in', 'front']	[1, 1, 1]	['NOUN']	1336.0	3	6	3	2	3	0.3			
4524	turn left about a hundred and fifty degrees	8	[2, 4]	[{turn, degrees}, {fifty, a, and, about}]	['left', 'degrees']	[1, 1]	['NOUN']	[1]	[{hundred}]	['left']	[1]	['VERB']	1336.0	1	6	1	2	5	0.62			
4525	go forward and then stop when youre to the right of Aki	13	[3, 2, 3, 2]	[{and, stop, forward}, {re, then}, {when, you, to}, {the, of}]	['go', 'go', 'stop', 'to']	[1, 1, 1, 1]	['ADP']	[1, 1]	[{right}, {Aki}]	['re', 'right']	[1, 1]	['NOUN']	1337.0	2	10	2	4	8	0.62			
4526	turn around then go about half the distance between you and Aki	12	[3, 3, 2]	[{go, then, around}, {the, half, between}, {Aki, and}]	['turn', 'go', 'between']	[1, 1, 1]	['ADP']	[1, 1, 1]	[{distance}, {about}, {you}]	['turn', 'distance', 'distance']	[1, 1, 1]	['NOUN']	1338.0	3	8	3	3	5	0.42			
4527	turn right about a hundred and fifty degrees	8	[2, 4]	[{degrees, right}, {about, a, fifty, and}]	['turn', 'degrees']	[1, 1]	['NOUN']	[1]	[{hundred}]	['turn']	[1]	['VERB']	1338.0	1	6	1	2	5	0.62			
4528	go forward and stop when youre in front of Aki	11	[3, 3]	[{stop, forward, and}, {when, in, you}]	['go', 'stop']	[1, 1]	['VERB']	[1, 1, 1, 1]	[{re}, {front}, {of}, {Aki}]	['go', 're', 'in', 'front']	[1, 1, 1, 1]	['NOUN']	1339.0	4	6	4	2	2	0.18			
4529	turn around	2	[]	[]	[]	[]	[]	[1]	[{around}]	['turn']	[1]	['VERB']	1339.0	1	0	1	0	-1	-0.5			
4530	then go towards Aki	4	[2]	[{towards, then}]	['go']	[1]	['VERB']	[1]	[{Aki}]	['go']	[1]	['VERB']	1339.0	1	2	1	1	1	0.25			
4531	go around him and stop a little bit past him	10	[3, 2, 2]	[{and, around, stop}, {a, little}, {him, bit}]	['go', 'past', 'stop']	[1, 1, 1]	['VERB']	[1, 1]	[{him}, {past}]	['go', 'go']	[1, 1]	['VERB']	1339.0	2	7	2	3	5	0.5			
4532	turn left about a hundred and fifty degrees	8	[2, 4]	[{degrees, turn}, {and, about, fifty, a}]	['left', 'degrees']	[1, 1]	['NOUN']	[1]	[{hundred}]	['left']	[1]	['VERB']	1340.0	1	6	1	2	5	0.62			
4533	go forward and stop when youre behind Aki	9	[3, 3]	[{forward, stop, and}, {you, behind, when}]	['go', 'stop']	[1, 1]	['VERB']	[1, 1]	[{re}, {Aki}]	['go', 're']	[1, 1]	['VERB']	1340.0	2	6	2	2	4	0.44			
4534	turn around	2	[]	[]	[]	[]	[]	[1]	[{around}]	['turn']	[1]	['VERB']	1341.0	1	0	1	0	-1	-0.5			
4535	then go about half of the distance between you and Aki	11	[2, 2, 2, 2]	[{half, then}, {of, about}, {the, between}, {Aki, and}]	['go', 'go', 'of', 'between']	[1, 1, 1, 1]	['ADP']	[1, 1]	[{distance}, {you}]	['half', 'distance']	[1, 1]	['NOUN']	1341.0	2	8	2	4	6	0.55			
4536	turn left about thirty degrees	5	[2]	[{turn, degrees}]	['left']	[1]	['VERB']	[1, 1]	[{about}, {thirty}]	['degrees', 'left']	[1, 1]	['VERB']	1342.0	2	2	2	1	0	0.0			
4537	go forward	2	[]	[]	[]	[]	[]	[1]	[{forward}]	['go']	[1]	['VERB']	1342.0	1	0	1	0	-1	-0.5			
4538	and then stop when youre behind Aki	8	[3, 3]	[{re, then, and}, {you, behind, when}]	['stop', 'stop']	[1, 1]	['VERB']	[1]	[{Aki}]	['re']	[1]	['VERB']	1343.0	1	6	1	2	5	0.62			
4539	go forward towards Aki	4	[2]	[{forward, towards}]	['go']	[1]	['VERB']	[1]	[{Aki}]	['go']	[1]	['VERB']	1343.0	1	2	1	1	1	0.25			
4540	go around him and stop a little bit past him	10	[3, 2, 2]	[{around, stop, and}, {little, a}, {bit, him}]	['go', 'past', 'stop']	[1, 1, 1]	['VERB']	[1, 1]	[{him}, {past}]	['go', 'go']	[1, 1]	['VERB']	1344.0	2	7	2	3	5	0.5			
4541	turn right about thirty degrees	5	[2]	[{about, right}]	['degrees']	[1]	['NOUN']	[1, 1]	[{degrees}, {thirty}]	['turn', 'turn']	[1, 1]	['VERB']	1344.0	2	2	2	1	0	0.0			
4542	then go forward until youre in front of Aki	10	[3, 3]	[{then, re, forward}, {in, until, you}]	['go', 'go']	[1, 1]	['VERB']	[1, 1, 1]	[{front}, {of}, {Aki}]	['re', 'in', 'front']	[1, 1, 1]	['NOUN']	1344.0	3	6	3	2	3	0.3			
4543	go forward about half the distance towards Aki	8	[2, 3]	[{forward, distance}, {half, the, towards}]	['go', 'go']	[1, 1]	['VERB']	[1, 1]	[{about}, {Aki}]	['distance', 'distance']	[1, 1]	['NOUN']	1345.0	2	5	2	2	3	0.38			
4544	turn left about thirty degrees	5	[2]	[{turn, degrees}]	['left']	[1]	['VERB']	[1, 1]	[{about}, {thirty}]	['degrees', 'left']	[1, 1]	['VERB']	1345.0	2	2	2	1	0	0.0			
4545	go forward and stop when youre next to Aki on his right	13	[3, 4]	[{forward, and, stop}, {when, next, on, you}]	['go', 'stop']	[1, 1]	['VERB']	[1, 1, 1, 1, 1]	[{re}, {to}, {Aki}, {right}, {his}]	['go', 're', 'next', 're', 'on']	[1, 1, 1, 1, 1]	['ADP']	1346.0	5	7	5	2	2	0.15			
4546	go forward towards Aki	4	[2]	[{forward, towards}]	['go']	[1]	['VERB']	[1]	[{Aki}]	['go']	[1]	['VERB']	1346.0	1	2	1	1	1	0.25			
4547	go around him	3	[]	[]	[]	[]	[]	[1, 1]	[{around}, {him}]	['go', 'go']	[1, 1]	['VERB']	1347.0	2	0	2	0	-2	-0.67			
4548	and then stop a little bit behind him	8	[3, 2, 2]	[{behind, and, then}, {little, a}, {bit, him}]	['stop', 'behind', 'stop']	[1, 1, 1]	['VERB']	[]	[]	[]	[]	[]	1347.0	0	7	0	3	7	0.88			
4549	turn right about thirty degrees	5	[2]	[{about, right}]	['degrees']	[1]	['NOUN']	[1, 1]	[{degrees}, {thirty}]	['turn', 'turn']	[1, 1]	['VERB']	1348.0	2	2	2	1	0	0.0			
4550	go forward and stop when youre to the left of Aki	12	[3, 3, 2]	[{stop, forward, and}, {when, to, you}, {of, the}]	['go', 'stop', 'to']	[1, 1, 1]	['ADP']	[1, 1, 1]	[{re}, {left}, {Aki}]	['go', 're', 'left']	[1, 1, 1]	['NOUN']	1348.0	3	8	3	3	5	0.42			
4551	go forward about half the distance between you and Aki	10	[2, 3, 2]	[{distance, forward}, {between, half, the}, {and, Aki}]	['go', 'go', 'between']	[1, 1, 1]	['ADP']	[1, 1]	[{about}, {you}]	['distance', 'distance']	[1, 1]	['NOUN']	1349.0	2	7	2	3	5	0.5			
4552	turn left about thirty degrees go forward	7	[2, 2]	[{go, turn}, {forward, degrees}]	['left', 'left']	[1, 1]	['VERB']	[1, 1]	[{about}, {thirty}]	['degrees', 'go']	[1, 1]	['VERB']	1350.0	2	4	2	2	2	0.29			
4553	and then stop when youre to the left of Aki	11	[3, 3, 2]	[{re, and, then}, {when, to, you}, {of, the}]	['stop', 'stop', 'to']	[1, 1, 1]	['ADP']	[1, 1]	[{left}, {Aki}]	['re', 'left']	[1, 1]	['NOUN']	1350.0	2	8	2	3	6	0.55			
4554	go forwards towards Aki	4	[]	[]	[]	[]	[]	[1, 1, 1]	[{forwards}, {towards}, {Aki}]	['go', 'go', 'forwards']	[1, 1, 1]	['ADV']	1351.0	3	0	3	0	-3	-0.75			
4555	go around him	3	[]	[]	[]	[]	[]	[1, 1]	[{around}, {him}]	['go', 'go']	[1, 1]	['VERB']	1351.0	2	0	2	0	-2	-0.67			
4556	and then stop a little bit past him	8	[3, 2, 2]	[{and, then, past}, {little, a}, {him, bit}]	['stop', 'past', 'stop']	[1, 1, 1]	['VERB']	[]	[]	[]	[]	[]	1351.0	0	7	0	3	7	0.88			
4557	turn right about thirty degrees	5	[2]	[{about, right}]	['degrees']	[1]	['NOUN']	[1, 1]	[{degrees}, {thirty}]	['turn', 'turn']	[1, 1]	['VERB']	1352.0	2	2	2	1	0	0.0			
4558	go forward and stop when youre next to Aki on his right	13	[3, 4]	[{stop, forward, and}, {next, you, when, on}]	['go', 'stop']	[1, 1]	['VERB']	[1, 1, 1, 1, 1]	[{re}, {to}, {Aki}, {right}, {his}]	['go', 're', 'next', 're', 'on']	[1, 1, 1, 1, 1]	['ADP']	1352.0	5	7	5	2	2	0.15			
4559	go forward about half the distance between you and Aki	10	[2, 3, 2]	[{forward, distance}, {half, the, between}, {Aki, and}]	['go', 'go', 'between']	[1, 1, 1]	['ADP']	[1, 1]	[{about}, {you}]	['distance', 'distance']	[1, 1]	['NOUN']	1353.0	2	7	2	3	5	0.5			
4560	turn left about thirty degrees	5	[2]	[{degrees, turn}]	['left']	[1]	['VERB']	[1, 1]	[{about}, {thirty}]	['degrees', 'left']	[1, 1]	['VERB']	1353.0	2	2	2	1	0	0.0			
4561	then go forward until youre in front of Aki	10	[3, 3]	[{then, re, forward}, {in, until, you}]	['go', 'go']	[1, 1]	['VERB']	[1, 1, 1]	[{front}, {of}, {Aki}]	['re', 'in', 'front']	[1, 1, 1]	['NOUN']	1354.0	3	6	3	2	3	0.3			
4562	go straight ahead towards Aki	5	[2]	[{straight, towards}]	['go']	[1]	['VERB']	[1, 1]	[{ahead}, {Aki}]	['go', 'ahead']	[1, 1]	['ADV']	1355.0	2	2	2	1	0	0.0			
4563	go around him	3	[]	[]	[]	[]	[]	[1, 1]	[{around}, {him}]	['go', 'go']	[1, 1]	['VERB']	1356.0	2	0	2	0	-2	-0.67			
4564	and then stop a little bit past him	8	[3, 2, 2]	[{and, past, then}, {a, little}, {him, bit}]	['stop', 'past', 'stop']	[1, 1, 1]	['VERB']	[]	[]	[]	[]	[]	1356.0	0	7	0	3	7	0.88			
4565	turn right about thirty degrees	5	[2]	[{right, about}]	['degrees']	[1]	['NOUN']	[1, 1]	[{degrees}, {thirty}]	['turn', 'turn']	[1, 1]	['VERB']	1357.0	2	2	2	1	0	0.0			
4566	go forward until youre behind Aki	7	[2, 3]	[{forward, re}, {until, behind, you}]	['go', 'go']	[1, 1]	['VERB']	[1]	[{Aki}]	['re']	[1]	['VERB']	1358.0	1	5	1	2	4	0.57			
4567	go forward about half the distance between you and Aki	10	[2, 3, 2]	[{forward, distance}, {between, the, half}, {Aki, and}]	['go', 'go', 'between']	[1, 1, 1]	['ADP']	[1, 1]	[{about}, {you}]	['distance', 'distance']	[1, 1]	['NOUN']	1359.0	2	7	2	3	5	0.5			
